id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,mood_tags,language,is_explicit,duration_sec
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,68,2020,upbeat|feelgood|sunny,english,false,205
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,55,2020,study|mellow|nocturnal,instrumental,false,180
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,60,2010,aggressive|driving|powerful,english,false,232
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,48,2020,study|calm|rainy,instrumental,false,172
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,72,2020,workout|aggressive|hype,english,false,198
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,40,2010,dreamy|spacey|calm,instrumental,false,300
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,44,2010,mellow|cozy|nostalgic,english,false,214
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,58,2010,nostalgic|nocturnal|moody,english,false,226
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,52,2020,study|focus|mellow,instrumental,false,190
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,64,2010,upbeat|feelgood|romantic,english,false,208
11,HUMBLE.,Kendrick Lamar,hip hop,confident,0.62,150,0.42,0.90,0.10,92,2010,aggressive|confident|bold,english,true,177
12,Three Little Birds,Bob Marley & The Wailers,reggae,uplifting,0.60,76,0.85,0.70,0.30,80,1970,uplifting|feelgood|sunny,english,false,180
13,Clair de Lune,Claude Debussy,classical,dreamy,0.10,66,0.30,0.15,0.98,70,1900,dreamy|romantic|calm,instrumental,false,300
14,Jolene,Dolly Parton,country,melancholic,0.55,110,0.40,0.55,0.50,78,1970,nostalgic|heartbreak|storytelling,english,false,162
15,Superstition,Stevie Wonder,funk,groovy,0.78,100,0.72,0.80,0.08,82,1970,groovy|funky|feelgood,english,false,245
16,One More Time,Daft Punk,electronic,euphoric,0.85,123,0.80,0.82,0.02,85,2000,euphoric|party|uplifting,english,false,320
17,Someone Like You,Adele,soul,sad,0.30,67,0.20,0.35,0.90,88,2010,heartbreak|emotional|nostalgic,english,false,285
18,Enter Sandman,Metallica,metal,dark,0.95,123,0.35,0.45,0.01,84,1990,aggressive|dark|powerful,english,false,331
19,Despacito,Luis Fonsi,latin,romantic,0.82,89,0.75,0.66,0.21,90,2010,romantic|party|sunny,spanish,false,229
20,Dynamite,BTS,k-pop,energetic,0.88,114,0.90,0.75,0.06,89,2020,euphoric|party|feelgood,korean,false,199
